Re,FR,I,DM;Bu;Se considera técnicamente viable la Tala del individuo arbóreo dadas sus regulares condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de emplazamiento, con la infraestructura a construir.
Bu,PAT;Bu;Se considera técnicamente viable la Conservación del individuo arbóreo dadas  sus buenas condiciones fitosanitarias y por no interferir con la obra.;Árbol que se encuentra cerca de la infraestructura a construir.
Re,FR,DM;Bu;Se considera técnicamente viable el Bloqueo y traslado del individuo arbóreo pese a  sus regulares condiciones fitosanitarias y por interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,FR,I,DesC,PAA,RP;Re;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir y presenta interferencia con redes.
Ma,FT,Su,PAA,RP;Ma,Go,PI,Cl;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,F,MI,CR,RP,DM;Ma,Cl,Go,PI;Se considera técnicamente viable la Conservación del individuo arbóreo pese a  sus regulares condiciones fitosanitarias y por no interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,FB,I,CR,CELE;Re,Go,PI;Se considera técnicamente viable la tala del individuo arbóreo por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir y presenta interferencia con redes.
Ma,DesC,Rb,CA,DM,FR;Ma,Sb,Go,PI;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir y presenta interferencia con redes.
Ma,CA,Rb,FT,I,DM;Ma,Sb,Cl,PI;Se considera técnicamente viable la tala del individuo arbóreo por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir y presenta interferencia con redes.
Ma,PAA,Rb,An,DM;Ma,Cl,PI;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir y presenta interferencia con redes.
Re,ER,RS;Re,PI,Cc;Se considera técnicamente viable la tala del individuo arbóreo por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,ER,Bb,Rb,FT,DM;Re,PI,Pb;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,F,MI,PAA.Rb,DM;Ma,Pb,Ho,PI;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,DM,To,B,Dc,CA,PAA;Ma,Pb,Ho,PI;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,DM,To,Dc,B,CA,PAA;Ma,PL,Tu,PI;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,Dm,To,RS,B,CA,PAA;Ma,Pb,PI,Cl;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,PAA,Rb,RS,Bb,To;Ma,Pb,PI,Cl;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,RS,Rb,To,CA,I;Ma,Pb,Pi,Cl;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,RS,Rb,To,CA,BB,I;Ma,Pb,PI,Su;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,PAA,DM,To;Ma,Pb,PI,Su;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Bu,B;Bu;Se considera técnicamente viable el Bloqueo y traslado del individuo arbóreo dadas sus buenas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.
Ma,ER,BB,To,DM,CA;Ma,Pb,PI,Su;Se considera técnicamente viable la tala del individuo arbóreo dadas sus malas condiciones fitosanitarias y por  interferir con la obra.;Árbol que se encuentra en conflicto de espaciamiento, con la infraestructura a construir.